time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging,frequency
2024-12-03 21:07:08+00:00,32.45913244597614,-111.44792081415653,637.2,3.0,52.0,2.47,24,gps,0.4,0.6,0.8,-27.7,,,,67,,1733259784000,2024-12-03T14:03:04.000-07:00,62278.13027884603,1733224973825,Default Profile,False,5
2024-12-03 21:09:10+00:00,32.45827550534159,-111.45019768271595,640.5,3.0,246.0,0.64,23,gps,0.4,0.6,0.8,-27.7,,,,65,,1733260089000,2024-12-03T14:08:09.000-07:00,62629.598003899715,1733224973825,Default Profile,False,2
2024-12-03 21:10:11+00:00,32.45670079719275,-111.44687580876052,636.0,2.5,113.9,8.78,23,gps,0.4,0.6,0.8,-27.7,,,,65,,1733260211000,2024-12-03T14:10:11.000-07:00,63017.017263090194,1733224973825,Default Profile,False,1
2024-12-03 21:16:16+00:00,32.45590375503525,-111.4437070582062,637.3333333333334,3.0,78.3,0.48,22,gps,0.4,0.8,1.0,-27.7,,,,65,,1733260271000,2024-12-03T14:11:11.000-07:00,63295.24272984754,1733224973825,Default Profile,False,6
2024-12-03 21:17:17+00:00,32.45479663833976,-111.44232669845223,637.0,2.0,121.6,9.37,24,gps,0.4,0.6,0.8,-27.7,,,,63,,1733260637000,2024-12-03T14:17:17.000-07:00,63566.38068202554,1733224973825,Default Profile,False,1
2024-12-04 14:43:02+00:00,32.45494534659637,-111.44017497246918,632.8065764023212,2.5,,0.17,33,gps,0.4,0.6,0.8,-27.7,,,,63,,1733260698000,2024-12-03T14:18:18.000-07:00,63761.11933256802,1733224973825,Default Profile,False,517
2024-12-04 14:47:03+00:00,32.4521282594651,-111.43704970367251,633.0,2.0,131.8,9.78,28,gps,0.4,0.6,0.8,-27.7,,,,97,,1733323623000,2024-12-04T07:47:03.000-07:00,4060.1921303685754,1733282508217,Default Profile,False,1
2024-12-04 14:54:44+00:00,32.445319471880794,-111.38229777105153,585.0,2.0,65.0,16.73,27,gps,0.4,0.8,1.0,-27.7,,,,95,,1733324084000,2024-12-04T07:54:44.000-07:00,9253.285789983778,1733282508217,Default Profile,False,1
2024-12-04 14:58:45+00:00,32.44028924033046,-111.37180061079562,575.0,2.0,180.4,13.65,31,gps,0.4,0.8,1.0,-27.7,,,,95,,1733324325000,2024-12-04T07:58:45.000-07:00,10386.06848140955,1733282508217,Default Profile,False,1
2024-12-04 15:02:46+00:00,32.429329231381416,-111.361203789711,574.0,1.5,91.3,14.49,26,gps,0.4,0.8,1.0,-27.7,,,,94,,1733324566000,2024-12-04T08:02:46.000-07:00,11959.04361422141,1733282508217,Default Profile,False,1
